number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_early_stopping_rounds,params_gamma,params_grow_policy,params_learning_rate,params_max_delta_step,params_max_depth,params_max_leaves,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_subsample,state
0,1.8040889294143245,2026-02-12 23:42:56.156514,2026-02-12 23:43:15.518434,0 days 00:00:19.361920,0.9370943376576378,246,5.539244894443622,depthwise,0.027511893079356923,8,3,,0.3661020453667823,6.23771581766088e-08,2.1325288093068306,0.6807826226583794,COMPLETE
1,1.926696153299904,2026-02-12 23:42:56.157861,2026-02-12 23:43:27.914140,0 days 00:00:31.756279,0.5569875041108223,229,0.05499469163364079,depthwise,0.06334642412271554,4,5,,43.003350603044936,0.00015901765431549603,62.08010457443265,0.8054690697503106,COMPLETE
2,1.7542090674870148,2026-02-12 23:42:56.168926,2026-02-12 23:43:17.341581,0 days 00:00:21.172655,0.5917396282902946,635,9.271907927440585,lossguide,0.008512844606633941,9,9,37.0,2.0318283513557347,0.1576195461747932,16.95227998954036,0.8635212855406753,COMPLETE
3,1.8078620479351912,2026-02-12 23:42:56.170873,2026-02-12 23:43:22.706706,0 days 00:00:26.535833,0.7199922870630052,543,1.692137023179967,depthwise,0.021205180906057195,9,9,,0.2903890654668706,4.822671067627929e-07,8.5808796026527,0.7560707447115209,COMPLETE
4,1.7718103907074978,2026-02-12 23:42:56.175278,2026-02-12 23:43:15.107890,0 days 00:00:18.932612,0.8230984236808384,636,5.9392158899976835,depthwise,0.0234841782566957,0,10,,0.7267537697907629,0.06161888232248922,7.264919320699016,0.8254053207931867,COMPLETE
5,1.8422080976409347,2026-02-12 23:42:56.169388,2026-02-12 23:43:20.741503,0 days 00:00:24.572115,0.5969303225016889,292,4.138916559041866,depthwise,0.040955104410230384,1,4,,19.62879755049898,0.00016255613110230136,4.067361567389927,0.6142768507133567,COMPLETE
6,1.807234505365924,2026-02-12 23:42:56.169855,2026-02-12 23:43:20.114101,0 days 00:00:23.944246,0.7349564339184973,680,1.4098568268430722,depthwise,0.031173921406538206,6,3,,0.43676027679776463,2.0884374274562866e-06,61.106924901557875,0.8602007001587237,COMPLETE
7,1.771647357260198,2026-02-12 23:42:56.170239,2026-02-12 23:43:27.707543,0 days 00:00:31.537304,0.8658632191224758,592,3.5858571552505536,lossguide,0.012934852209776138,8,11,477.0,0.17946258198593362,0.6259213157771817,24.354118918753404,0.8997859381653566,COMPLETE
8,1.7886669248061924,2026-02-12 23:43:15.176830,2026-02-12 23:43:32.515546,0 days 00:00:17.338716,0.5633932449947657,344,9.826854242042934,depthwise,0.03153655863486912,9,3,,1.5038757128215865,1.0567320325861847e-07,0.1309986618285562,0.9716306212509934,COMPLETE
9,1.770106595278967,2026-02-12 23:43:15.587230,2026-02-12 23:43:42.527992,0 days 00:00:26.940762,0.8846798287313571,404,8.267991853820584,depthwise,0.005175273486123254,4,11,,0.8746307543761715,0.03403333572418799,0.630521946510854,0.9033169711308089,COMPLETE
